Highest Value: 92.63%
Epoch #360 -> 92.31
Epoch #361 -> 92.01
Epoch #362 -> 91.81
Epoch #363 -> 92.39
Epoch #364 -> 92.22
Epoch #365 -> 91.98
Epoch #366 -> 91.96
Epoch #367 -> 92.14
Epoch #368 -> 92.21
Epoch #369 -> 92.15
Epoch #370 -> 92.19
Epoch #371 -> 92.11
Epoch #372 -> 92.15
Epoch #373 -> 92.17
Epoch #374 -> 91.94
Epoch #375 -> 91.9
Epoch #376 -> 92.19
Epoch #377 -> 92.28
Epoch #378 -> 91.6
Epoch #379 -> 91.74
Epoch #380 -> 91.9
Epoch #381 -> 92.04
Epoch #382 -> 91.79
Epoch #383 -> 91.92
Epoch #384 -> 92.05
Epoch #385 -> 91.94
Epoch #386 -> 92.0
Epoch #387 -> 92.3
Epoch #388 -> 92.36
Epoch #389 -> 92.59
Epoch #390 -> 92.04
Epoch #391 -> 92.21
Epoch #392 -> 92.08
Epoch #393 -> 92.46
Epoch #394 -> 92.06
Epoch #395 -> 92.22
Epoch #396 -> 92.26
Epoch #397 -> 92.18
Epoch #398 -> 92.32
Epoch #399 -> 92.17
Epoch #400 -> 92.07
Epoch #401 -> 92.42
Epoch #402 -> 92.23
Epoch #403 -> 92.03
